Rank;Name1;Name2;BWF_ID1;BWF_ID2;
1;Marcus Fernaldi GIDEON;Kevin Sanjaya SUKAMULJO;26394;80057;
2;LIU Cheng;ZHANG Nan;95396;35357;
3;Mathias BOE;Carsten MOGENSEN;50292;51304;
4;Takeshi KAMURA;Keigo SONODA;70969;90623;
5;LI Junhui;LIU Yuchen;79059;93367;
6;Mads CONRAD-PETERSEN;Mads Pieler KOLDING;42722;52958;
7;Takuto INOUE;Yuki KANEKO;59419;95761;
8;Kim ASTRUP;Anders Skaarup RASMUSSEN;92980;44414;
9;Fajar ALFIAN;Muhammad Rian ARDIANTO;88876;91130;
10;LIAO Min Chun;SU Ching Heng;53230;88829;
11;LEE Jhe-Huei;LEE Yang;99102;69448;
12;Vladimir IVANOV;Ivan SOZONOV;53924;67068;
13;Hiroyuki ENDO;Yuta WATANABE;54026;58240;
14;GOH V Shem;TAN Wee Kiong;54805;52071;
15;CHEN Hung Ling;WANG Chi-Lin;53613;96514;
16;Berry ANGRIAWAN;Hardianto HARDIANTO;23374;69003;
17;Hendra SETIAWAN;Mohammad AHSAN;51074;52749;
18;Wahyu Nayaka ARYA PANGKARYANIRA;Ade Yusuf SANTOSO;59822;74945;
19;Takuro HOKI;Yugo KOBAYASHI;81657;67903;
20;LU Ching Yao;YANG Po Han;56746;59709;
21;HE Jiting;TAN Qiang;59673;58678;
22;Tinn ISRIYANET;Kittisak NAMDASH;96699;65754;
23;Marcus ELLIS;Chris LANGRIDGE;71349;51624;
24;HAN Chengkai;ZHOU Haodong;66491;61160;
25;Satwiksairaj RANKIREDDY;Chirag SHETTY;72435;70500;
26;ONG Yew Sin;TEO Ee Yi;84064;99066;
27;Mathias CHRISTIANSEN;David DAUGAARD;99521;59436;
28;CHUNG Eui Seok;KIM DukYoung;99472;93611;
29;ATTRI Manu;REDDY B. Sumeeth;59803;24172;
30;Jason Anthony HO-SHUE;Nyl YAKURA;93791;25322;
31;Mark LAMSFUSS;Marvin Emil SEIDEL;68045;64909;
