Rank;Name;BWF_ID 
1;Viktor AXELSEN;25831
2;LEE Chong Wei;50152
3;SHI Yuqi;57945
4;SON Wan Ho;54346
5;CHOU Tien Chen;34810
6;KIDAMBI Srikanth;93627
7;Kento MOMOTA;89785
8;CHEN Long;75787
9;LIN Dan;50906
10;NG Ka Long Angus;45171
11;PRANNOY H. S.;83950
12;Anthony Sinisuka GINTING;95661
13;Tommy SUGIARTO;14587
14;Kenta NISHIMOTO;85394
15;Jonatan CHRISTIE;73442
16;Anders ANTONSEN;91554
17;WANG Tzu Wei;87375
18;Kantaphon WANGCHAROEN;92508
19;Sameer VERMA;77003
20;Khosit PHETPRADAB;29449
21;Brice LEVERDEZ;52968
22;WONG Wing Ki Vincent;55280
23;Hans-Kristian Solberg VITTINGHUS;53753
24;LEE Hyun Il;11704
25;Kazumasa SAKAI;91280
26;SAI PRANEETH B.;42776
27;Kanta TSUNEYAMA;57823
28;Suppanyu AVIHINGSANON;46874
29;Rajiv OUSEPH;51613
30;Rasmus GEMKE;62855
31;Mark CALJOUW;76973
32;HUANG Yuxiang;71261
33;LEE Dong Keun;64933
34;HSU Jen Hao;67100
35;QIAO Bin;78828
36;JEON Hyeok Jin;65580
37;Ihsan Maulana MUSTOFA;74154
38;Tanongsak SAENSOMBOONSUK;54513
39;Daren LIEW;52864
40;Ygor COELHO;96429
41;Lucas CORVEE;89416
42;LEE Cheuk Yiu;94780
43;Jan O JORGENSEN;54431
44;Wei Feng CHONG;52030
45;Sitthikom THAMMASIN;58963
46;LU Guangzu;77427
47;HU Yun;14869
48;Yu IGARASHI;64179
49;PARUPALLI Kashyap;53944
50;LEE Zii Jia;81561
51;Pablo ABIAN;14251
52;Misha ZILBERMAN;52953
53;Toby PENTY;88523
54;Sony Dwi KUNCORO;50427
55;Sourabh VERMA;25925
56;Emil HOLST;83122
57;Vladimir MALKOV;51682
58;Tien Minh NGUYEN;14107
59;Pannawit THONGNUAM;80800
60;Iskandar ZULKARNAIN;31871
61;Subhankar DEY;60967
62;Thomas ROUXEL;38500
63;Panji Ahmad MAULANA;85956
64;ZHAO Junpeng;95930
65;Jason Anthony HO-SHUE;93791
66;Kevin CORDON;54897
67;Victor SVENDSEN;59420
68;LIN Yu Hsien;91665
69;Jun Hao LEONG;84838
70;Kim BRUUN;96545
71;Ajay JAYARAM;55351
72;Sam PARSONS;90842
73;Firman Abdul KHOLIK;61797
74;Kalle KOLJONEN;92655
75;Lucas CLAERBOUT;89506
76;HEO Kwang Hee;68718
77;Lakshya SEN;68870
78;Shesar Hiren RHUSTAVITO;81887
79;June Wei CHEAM;92796
80;Koki WATANABE;97174
81;Artem POCHTAROV;20301
82;Alexander ROOVERS;55505
83;Sergey SIRANT;93878
84;Cao Cuong PHAM;87628
85;Eetu HEINO;54484
86;Georges Julien PAUL;64839
87;WEI Nan;53054
88;Milan LUDIK;95385
89;Nhat NGUYEN;85095
90;Raul MUST;51531
91;Joo Ven SOONG;87117
92;Luis Ramon GARRIDO;97943
93;Rosario MADDALONI;15286
94;Adam MENDREK;91381
95;Emre LALE;66694
96;Maxime MOREELS;25625
97;Takuma UEDA;47181
98;Gergely KRAUSZ;56755
99;Zvonimir DURKINJAK;52250
100;Jacob NILSSON;76972
101;GURUSAIDUTT R. M. V.;32722
102;TIAN Houwei;12903
103;Henri AARNIO;62470
104;Felix BURESTEDT;83985
105;Kai SCHAEFER;20808
106;Toma Junior POPOV;61628
107;Osleni GUERRERO;52364
108;Adulrach NAMKUL;77315
109;Adrian DZIOLKO;48962
110;Mithun MANJUNATH;62720
111;Abhinav MANOTA;58628
112;Iikka HEINO;88856
113;ZHOU Zeqi;91093
114;Bahaedeen Ahmad ALSHANNIK;95425
115;Shreyansh JAISWAL;83243
116;Kodai NARAOKA;62063
117;Abhishek YELIGAR;95489
118;Luís Enrique PEÑALVER;71221
119;Kartikey GULSHAN KUMAR;64794
120;Lars SCHAENZLER;77085
121;Niluka KARUNARATNE;14004
122;LU Chia Hung;91254
123;NG Zin Rei Ryan;97703
124;Karan Rajan RAJARAJAN;72555
125;Riichi TAKESHITA;61799
126;Chia Hao LEE;59322
127;Nick FRANSMAN;48202
128;Muhammed Ali KURT;63081
129;Ivan RUSEV;98589
130;Luka WRABER;56274
131;Jonathan PERSSON;60652
132;Rahul Yadav CHITTABOINA;81643
133;Leodannis MARTINEZ PALACIO;50573
134;Yee Han CHONG;79695
135;Hashiru SHIMONO;76185
136;Duarte Nuno ANJO;64631
137;Michal ROGALSKI;53381
138;Siddharth PRATAP SINGH;99595
139;Artur Silva POMOCENO;77631
140;REN Pengbo;91204
141;Lino MUNOZ;96461
142;LE Duc Phat;69345
143;Job CASTILLO;93101
144;Robert MANN;92689
145;Miha IVANIC;57543
146;LIM Chi Wing;93857
147;Xiaodong SHENG;77143
148;Krishna Adi NUGRAHA;68647
149;Hermansah .;71211
150;Minoru KOGA;80062
151;Bernardo ATILANO;83597
152;SUN Feixiang;57762
153;Joshua MAGEE;59068
154;Daniel LA TORRE REGAL;72923
155;Siddharath THAKUR;75005
156;Jan LOUDA;61423
157;Kean Yew LOH;76115
158;Giap Chin GOH;73534
159;Aatish LUBAH;66071
160;Mads CHRISTOPHERSEN;83938
161;YANG Chih Chieh;85790
162;Sahil SIPANI;80147
163;Kieran MERRILEES;54204
164;Bodhit JOSHI;57334
165;Timothy CHIU;61666
166;Kantawat LEELAVECHABUTR;66321
167;Jia Wei TAN;69159
168;Rasmus MESSERSCHMIDT;81860
169;Brian YANG;63122
170;Andre MARTEEN;67795
171;Jose GUEVARA;58402
172;Chico Aura DWI WARDOYO;71408
173;Anuoluwapo Juwon OPEYORI;79662
174;Fabio CAPONIO;87691
175;LIN Chia Hsuan;39748
176;Kartik JINDAL;78209
177;Pierrick CAJOT;88054
178;Dmytro ZAVADSKY;54439
179;Søren TOFT;94838
180;HSUEH Hsuan Yi;52983
181;WANG Yuehang;56990
182;Christian KIRCHMAYR;98222
183;Marius MYHRE;20711
184;Daniel CHISLOV;91907
185;Ade Resky DWICAHYO;78890
186;Milan DRATVA;68819
187;Arnaud MERKLE;59543
188;Clement KROBAKPO;94754
189;Adham Hatem ELGAMAL;72466
190;Max WEISSKIRCHEN;84815
191;Pit Seng LOW;86104
192;Ahmed SALAH;55949
193;Siril VERMA;68139
194;HA Young Woong;16714
195;Kunlavut VITIDSARN;64032
196;Ondřej KRÁL;82378
197;Daniel FAN;68589
198;Fabian ROTH;57297
199;Habeeb Temitope BELLO;73154
200;Daniel NIKOLOV;70442
