Rank;Name1;Name2;BWF_ID1;BWF_ID2;
1;CHEN Qingchen;JIA Yifan;94125;65144;
2;Yuki FUKUSHIMA;Sayaka HIROTA;71023;94519;
3;Misaki MATSUTOMO;Ayaka TAKAHASHI;43851;16981;
4;Kamilla Rytter JUHL;Christinna PEDERSEN;51436;53759;
5;Shiho TANAKA;Koharu YONEMOTO;96927;26238;
6;Greysia POLII;Apriyani RAHAYU;14729;81462;
7;Jongkolphan KITITHARAKUL;Rawinda PRAJONGJAI;24686;84669;
8;LEE So Hee;SHIN Seung Chan;91292;87473;
9;Mayu MATSUMOTO;Wakana NAGAHARA;81609;77832;
10;Della Destiara HARIS;Rizki Amelia PRADIPTA;66961;91654;
11;Ayako SAKURAMOTO;Yukiko TAKAHATA;83211;63277;
12;Gabriela STOEVA;Stefani STOEVA;43840;46169;
13;DU Yue;LI Yinhui;65984;82249;
14;Naoko FUKUMAN;Kurumi YONAO;56251;56417;
15;YU Xiaohan;HUANG Yaqiong;62554;63168;
16;CHOW Mei Kuan;LEE Meng Yean;12411;93215;
17;Anggia Shitta AWANDA;Ni Ketut Mahadewi ISTARANI;95620;84362;
18;Chayanit CHALADCHALAM;Phataimas MUENWONG;67168;56460;
19;JUNG Kyung Eun;CHANG Ye Na;16745;54361;
20;Maiken FRUERGAARD;Sara THYGESEN;70042;68189;
21;Emilie LEFEL;Anne TRAN;54079;98854;
22;Selena PIEK;Cheryl SEINEN;67176;70503;
23;Isabel HERTTRICH;Carla NELTE;98052;61184;
24;BAEK Ha Na;LEE Yu Lim;56706;66115;
25;HUANG Dongping;LI Wenmei;89426;78837;
26;HSU Ya Ching;WU Ti Jung;74561;95143;
27;TANG Jinhua;YU Xiaohan;39056;62554;
28;Ashwini PONNAPPA;REDDY N. Sikki;49765;17515;
29;Ekaterina BOLOTOVA;Alina DAVLETOVA;81907;72565;
30;Chloe BIRCH;Jessica PUGH;50715;77018;
31;KIM So Yeong;KONG Hee Yong;55874;71391;
32;Lauren SMITH;Sarah WALKER;80918;34240;
33;SOONG Fie Cho;TEE Jing Yi;55470;53153;
34;Johanna GOLISZEWSKI;Lara KAEPPLEIN;52280;88659;
35;JAKKAMPUDI Meghana;Poorvisha S RAM;59206;73496;
36;CHIANG Kai Hsin;HUNG Shih Han;84929;53628;
37;Setyana MAPASA;Gronya SOMERVILLE;77441;58488;
38;Delphine DELRUE;Lea PALERMO;70762;98329;
39;Anastasia CHERVYAKOVA;Olga MOROZOVA;33989;85822;
40;Nami MATSUYAMA;Chiharu SHIDA;65212;68282;
41;Savitree AMITRAPAI;Pacharapun CHOCHUWONG;53582;94446;
42;Misato ARATAMA;Akane WATANABE;65865;55712;
43;Julie FINNE-IPSEN;Rikke SØBY;70371;58111;
44;CHAE YuJung;KIM Hye Rin;93074;57824;
45;KIM Hye Rin;KONG Hee Yong;57824;71391;
46;CHANG Ye Na;LEE So Hee;54361;91292;
47;Ariel LEE;Sydney LEE;59441;84770;
48;Debora JILLE;Imke VAN DER AAR;67373;89732;
49;Vivian HOO;WOON Khe Wei;54149;53154;
50;CAO Tong Wei;ZHENG Yu;81345;85331;
51;Emma KARLSSON;Johanna MAGNUSSON;98566;73556;
52;Daniela MACIAS;Danica NISHIMURA;71252;80894;
53;Amanda HOGSTROM;Clara NISTAD;42703;80474;
54;Maryna ILYINSKAYA;Yelyzaveta ZHARKA;64424;31614;
55;CHEN Hsiao Huan;HU Ling Fang;51518;87176;
56;LIN Xiao Min;WU Fang Chien;65203;65996;
57;CHANG Ching Hui;YANG Ching Tun;75270;78687;
58;Bengisu ERCETIN;Nazlıcan INCI;62426;73023;
59;Putri Sari Dewi CITRA;Yujia JIN;90662;73013;
60;Agatha IMANUELA;Siti Fadia Silva RAMADHANTI;81486;88097;
