Rank;Name;BWF_ID;
1;TAI Tzu Ying;61427;
2;Akane YAMAGUCHI;96312;
3;PUSARLA V. Sindhu;73173;
4;Ratchanok INTANON;35642;
5;CHEN Yufei;78778;
6;Nozomi OKUHARA;96713;
7;HE Bingjiao;87434;
8;Carolina MARIN;18228;
9;SUNG Ji Hyun;76594;
10;Saina NEHWAL;52748;
11;Sayaka TAKAHASHI;34890;
12;Nitchaon JINDAPOL;57971;
13;Beiwen ZHANG;53806;
14;GAO Fangjie;78116;
15;Michelle LI;84523;
16;Aya OHORI;95189;
17;Sayaka SATO;77317;
18;CHEUNG Ngan Yi;87709;
19;Mia BLICHFELDT;91224;
20;Pornpawee CHOCHUWONG;84062;
21;LEE Jang Mi;84992;
22;Gregoria Mariska TUNJUNG;83802;
23;Busanan ONGBAMRUNGPHAN;58271;
24;Kirsty GILMOUR;48528;
25;KIM Hyo Min;91598;
26;Line Højmark KJAERSFELDT;63437;
27;Beatriz CORRALES;95780;
28;Minatsu MITANI;66644;
29;PAI Yu Po;99925;
30;GOH Jin Wei;69012;
31;CAI Yanyan;89700;
32;CHEN Xiaoxin;58637;
33;Evgeniya KOSETSKAYA;92400;
34;YIP Pui Yin;51649;
35;LEE Chia Hsin;76717;
36;HAN Yue;92967;
37;Soniia CHEAH;18143;
38;Saena KAWAKAMI;61568;
39;Ying Ying LEE;64889;
40;ZHANG Yiman;58720;
41;Dinar Dyah AYUSTINE;61665;
42;Fitriani FITRIANI;96892;
43;Linda ZETCHIRI;15105;
44;Rachel HONDERICH;95664;
45;Neslihan YIGIT;87885;
46;Natalia Koch ROHDE;78534;
47;CHIANG Ying Li;27588;
48;CHEN Su Yu;71673;
49;Sabrina JAQUET;54068;
50;Chloe BIRCH;50715;
51;Lyanny Alessandra MAINAKY;64558;
52;Vaishnavi Reddy JAKKA;87723;
53;Thi Trang (B) VU;71455;
54;SUNG Shuo Yun;88807;
55;Brittney TAM;97087;
56;Hanna RAMADINI;97207;
57;Julie Dawall JAKOBSEN;77002;
58;Yulia Yosephin SUSANTO;67996;
59;Mette POULSEN;43761;
60;LI Xuerui;64643;
61;Yvonne LI;91106;
62;QI Xuefei;77256;
63;Ksenia POLIKARPOVA;67069;
64;Luise HEIM;67857;
65;JUI JEON;57813;
66;Soraya DE VISCH EIJBERGEN;93419;
67;DENG Joy Xuan;77627;
68;Jamie HSU;79853;
69;Kate FOO KUNE;42679;
70;Mariya MITSOVA;57906;
71;Sri Krishna Priya KUDARAVALLI;88809;
72;Shiori SAITO;77278;
73;Fabienne DEPREZ;21854;
74;Aliye DEMIRBAG;98643;
75;Natsuki NIDAIRA;91896;
76;Ayumi MINE;69082;
77;Natalia PERMINOVA;78605;
78;Ruselli HARTAWAN;81986;
79;GADDE Ruthvika Shivani;69619;
80;Kristin KUUBA;73015;
81;Thuy Linh NGUYEN;75678;
82;Porntip BURANAPRASERTSUK;54511;
83;Daniela MACIAS;71252;
84;MUGDHA AGREY;56940;
85;Hsuan-Yu Wendy CHEN;40545;
86;Delphine LANSAC;79056;
87;Chananchida JUCHAROEN;83013;
88;Selvaduray KISONA;92014;
89;Gayle MAHULETTE;89454;
90;Phittayaporn CHAIWAN;62301;
91;LEE Se Yeon;95820;
92;Haruko SUZUKI;81880;
93;YEO Jia Min;83822;
94;Muralitharan THINAAH;68628;
95;CHUA Hui Zhen Grace;81033;
96;Maria ULITINA;76349;
97;Martina REPISKA;75188;
98;Thamolwan POOPRADUBSIL;86511;
99;Dorcas Ajoke ADESOKAN;73121;
100;Crystal PAN;99017;
101;Sai Uttejitha Rao CHUKKA;93187;
102;Sofie Holmboe DAHL;82707;
103;Jennie GAI;83074;
104;Ayla HUSER;92691;
105;Ga Eun KIM;70930;
106;Disha GUPTA;59692;
107;Saili RANE;56471;
108;Yukino NAKAI;56834;
109;Rituparna DAS;67864;
110;Irina Amalie ANDERSEN;96276;
111;VAIDEHI CHOUDHARI;87945;
112;Natalya VOYTSEKH;76910;
113;Yin Fun LIM;62867;
114;Yen Mei HO;87629;
115;JI Shuting;79753;
116;Alesia ZAITSAVA;52294;
117;Taymara OROPESA PUPO;98960;
118;Hadia HOSNY;52901;
119;Lianne TAN;55318;
120;Anna Thea MADSEN;50331;
121;Mattana HEMRACHATANUN;76682;
122;Anura PRABHUDESAI;76882;
123;Riya MOOKERJEE;76459;
124;Clara AZURMENDI;74218;
125;Ozge BAYRAK;94762;
126;Jordan HART;94806;
127;Georgina BLAND;87660;
128;Katerina TOMALOVA;81794;
129;Sara PENALVER PEREIRA;76747;
130;Aisha NAKIYEMBA;66881;
131;Zhiyi WANG;61854;
132;Jamie SUBANDHI;52771;
133;Asuka TAKAHASHI;94712;
134;Michelle SKØDSTRUP;84113;
135;Agnes KOROSI;74051;
136;Jesica MULJATI;93338;
137;Getter SAAR;86222;
138;Rasika RAJE;59370;
139;Amalie HERTZ;70495;
140;Vrushali GUMMADI;67568;
141;Sonia GONCALVES;72489;
142;Isabel ZHONG;52636;
143;Ksenia EVGENOVA;64352;
144;Louisa MA;73559;
145;Kati-Kreet MARRAN;66267;
146;Supanida KATETHONG;91422;
147;Doha HANY;61746;
148;LIN Hsiang Ti;96725;
149;Fabiana SILVA;52908;
150;Jennifer TAM;57665;
151;Rusydina Antardayu RIODINGIN;74525;
152;Chasinee KOREPAP;71801;
153;Asty Dwi WIDYANINGRUM;74788;
154;Zuzana PAVELKOVA;34229;
155;Yaqueline DUARTE;82210;
156;CHANG Ya Lan;14865;
157;Fernanda SAPONARA RIVVA;88063;
158;Maryna ILYINSKAYA;64424;
159;Marie BATOMENE;94743;
160;Elizaveta PYATINA;81552;
161;Airi MIKKELA;55770;
162;Line CHRISTOPHERSEN;85302;
163;Tanvi LAD;66615;
164;LIANG Ting Yu;93852;
165;Mariana UGALDE;61244;
166;Ogar SIAMUPANGILA;51665;
167;Anastasiia SEMENOVA;73195;
168;Ronja STERN;81056;
169;Yaelle HOYAUX;82409;
170;Halla BOUKSANI;64063;
171;Fontaine Mica WRIGHT;55536;
172;IRA SHARMA;83856;
173;Linda MAZRI;59922;
174;Aurelie Marie Elisa ALLET;84390;
175;Manon KRIEGER;89836;
176;THET HTAR THUZAR;62385;
177;Abigail HOLDEN;72346;
178;Natsumi SHIMODA;97921;
179;Benyapa AIMSAARD;80871;
180;Daniella GONDA;98804;
181;Mako URUSHIZAKI;56963;
182;Anastasiya CHERNIAVSKAYA;94400;
183;Ines CASTILLO;79258;
184;Nuntakarn AIMSAARD;79198;
185;Iben BERGSTEIN;76370;
186;Paula LA TORRE REGAL;95819;
187;Anastasiia PUSTINSKAIA;81322;
188;Katia NORMAND;55629;
189;PARDESHI Shreyanshi;67630;
190;Shruti MUNDADA;82685;
191;Reshma KARTHIK;59536;
192;Zecily FUNG;58515;
193;Victoria SLOBODYANYUK;67073;
194;Manassanan LERTHATTASIN;74153;
195;Diana CORLETO SOTO;56401;
196;Sally FU;88713;
197;Anna MIKHALKOVA;59810;
198;Cendrine HANTZ;74309;
199;CHEN Hsiao Huan;51518;
200;Joy LAI;91611;
